"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12358","should send and receive a message in the chatbot","","Tue Apr 22 14:21:53 UTC 2025","passed","Tue Apr 22 14:22:05 UTC 2025","","Chatbot Interaction","",""
"","4070","should allow entering and submitting a query","","Tue Apr 22 14:21:59 UTC 2025","passed","Tue Apr 22 14:22:04 UTC 2025","","Help Section Interaction","",""
"","4080","secondary navigation contains the correct items in Desktop view","","Tue Apr 22 14:22:30 UTC 2025","passed","Tue Apr 22 14:22:34 UTC 2025","","Navigation Tests: Desktop view","",""
"","1767","should go to the Blog Page","","Tue Apr 22 14:21:47 UTC 2025","passed","Tue Apr 22 14:21:49 UTC 2025","","Checking a blog","",""
"","11995","should open model dropdown and select a model","","Tue Apr 22 14:22:11 UTC 2025","broken","Tue Apr 22 14:22:23 UTC 2025","","Help Section Interaction","",""
"","6409","should navigate to the Contact Us page","","Tue Apr 22 14:22:16 UTC 2025","passed","Tue Apr 22 14:22:23 UTC 2025","","Telnyx Website Functionality","",""
"","509","should display a chatbot response","","Tue Apr 22 14:22:04 UTC 2025","passed","Tue Apr 22 14:22:04 UTC 2025","","Help Section Interaction","",""
"","6791","should redirect to the Sign Up page when clicking the header button and verify page content","","Tue Apr 22 14:22:35 UTC 2025","passed","Tue Apr 22 14:22:41 UTC 2025","","Sign Up Functionality from Homepage","",""
"","671","should meet homepage performance expectations","","Tue Apr 22 14:22:10 UTC 2025","passed","Tue Apr 22 14:22:10 UTC 2025","","Telnyx Website Functionality","",""
"","2203","should have the correct page title","","Tue Apr 22 14:22:07 UTC 2025","passed","Tue Apr 22 14:22:09 UTC 2025","","Telnyx Website Functionality","",""
"","19588","secondary navigation contains the correct items in Mobile view","","Tue Apr 22 14:22:42 UTC 2025","passed","Tue Apr 22 14:23:02 UTC 2025","","Navigation Tests: Mobile view","",""
"","8590","should redirect to the Sign Up page when clicking the main body button and verify page content","","Tue Apr 22 14:22:41 UTC 2025","passed","Tue Apr 22 14:22:50 UTC 2025","","Sign Up Functionality from Homepage","",""
"","394","should show the chatbot input textbox","","Tue Apr 22 14:21:59 UTC 2025","passed","Tue Apr 22 14:21:59 UTC 2025","","Help Section Interaction","",""
"","8442","should open the chatbot","","Tue Apr 22 14:21:35 UTC 2025","passed","Tue Apr 22 14:21:44 UTC 2025","","Chatbot Interaction","",""
"","624","should display the hero title correctly","","Tue Apr 22 14:22:09 UTC 2025","passed","Tue Apr 22 14:22:10 UTC 2025","","Telnyx Website Functionality","",""
"","988","should have a visible footer","","Tue Apr 22 14:22:14 UTC 2025","passed","Tue Apr 22 14:22:15 UTC 2025","","Telnyx Website Functionality","",""
"","8988","should close the chatbot","","Tue Apr 22 14:21:44 UTC 2025","passed","Tue Apr 22 14:21:53 UTC 2025","","Chatbot Interaction","",""
"","3992","should show the chatbot title","","Tue Apr 22 14:21:55 UTC 2025","passed","Tue Apr 22 14:21:59 UTC 2025","","Help Section Interaction","",""
"","751","should contain ""©"" in the footer","","Tue Apr 22 14:22:15 UTC 2025","passed","Tue Apr 22 14:22:16 UTC 2025","","Telnyx Website Functionality","",""
"","7728","primary navigation contains the correct items in Mobile view","","Tue Apr 22 14:22:34 UTC 2025","passed","Tue Apr 22 14:22:42 UTC 2025","","Navigation Tests: Mobile view","",""
"","6762","should close the chat","","Tue Apr 22 14:22:04 UTC 2025","passed","Tue Apr 22 14:22:11 UTC 2025","","Help Section Interaction","",""
"","4366","primary navigation contains the correct items in Desktop view","","Tue Apr 22 14:22:26 UTC 2025","passed","Tue Apr 22 14:22:30 UTC 2025","","Navigation Tests: Desktop view","",""
"","4009","should close cookie notification when button is clicked","","Tue Apr 22 14:22:10 UTC 2025","passed","Tue Apr 22 14:22:14 UTC 2025","","Telnyx Website Functionality","",""
"","8453","should click on suggested topics and receive relevant response","","Tue Apr 22 14:22:23 UTC 2025","passed","Tue Apr 22 14:22:31 UTC 2025","","Help Section Interaction","",""
"","2190","should find the relevant article","","Tue Apr 22 14:21:49 UTC 2025","passed","Tue Apr 22 14:21:51 UTC 2025","","Checking a blog","",""
